year,price_pv,price_batt
2026,1000.0,800.0
2027,980.0,760.0
2028,960.4,722.0
2029,941.19,685.9
2030,922.37,651.6
2031,903.92,619.02
2032,885.84,588.07
2033,868.13,558.67
2034,850.76,530.74
2035,833.75,504.2
2036,817.07,478.99
2037,800.73,455.04
2038,784.72,432.29
2039,769.02,410.67
2040,753.64,390.14
2041,738.57,370.63
2042,723.8,352.1
2043,709.32,334.5
2044,695.14,317.77
2045,681.23,301.88
2046,667.61,286.79
2047,654.26,272.45
2048,641.17,258.83
2049,628.35,245.89
2050,615.78,233.59
